Fact,Source
"North Devon has a local concentration of 28,533.3 in 2010",http://data.gov.uk/dataset/index-of-multiple-deprivation/resource/3bb31e0d-f7ab-4355-bcf2-dcc165ec4aa7
The subject of the Art of Fugue contains 14 pitches,http://www2.nau.edu/tas3/strettofuguesaof.html
The Office of Rail Regulation employed 283 people in August 2013,http://data.gov.uk/dataset/workforce-management-information-office-of-rail-regulation/resource/5d64c3a7-b175-46c3-a2d2-07462be08fa4
"There were 40,997 emergency phones at railway stations in 2010",http://www.ciras.org.uk/report-library/network-rail-and-suppliers/40997-emergency-phones-at-stations/
"In 2012, 6.499m tonnes of sand were sold for building",https://www.gov.uk/government/publications/building-materials-and-components-statistics-august-2013
There have been 10 white Christmases in London since 1900,http://cedadocs.badc.rl.ac.uk/258/1/factsheet05.pdf
133 million bricks were produced in June 2013,https://www.gov.uk/government/publications/building-materials-and-components-statistics-august-2013
The South East produced 1063.41706690468kg of waste per household in 2010/11,http://www.ons.gov.uk/ons/rel/regional-trends/region-and-country-profiles/environment---environment-2012/regional-profiles---environment--2012.xls
There was a 43% increase in Woodland bird species in the North West between 1994 and 2008,http://www.ons.gov.uk/ons/rel/regional-trends/regional-trends-online-tables/june-2011-release/topic-workbook--5--environment.xls
There were 441 fish farms in the UK in 2007,http://www.ons.gov.uk/ons/rel/abs/annual-business-inquiry/1995-2007-national/annual-business-inquiry-1995-2007---section-b--fishing.xls
"There were 499,331 deaths registered in England and Wales in 2012",http://www.ons.gov.uk/ons/rel/vsob1/death-reg-sum-tables/2012/sb-deaths-first-release--2012.html
å£3.623bn of R&D investment for UK businesses came from overseas in 2011,http://www.ons.gov.uk/ons/rel/rdit1/bus-ent-res-and-dev/2011/rft-berd-data-tables-2011.xls
å£268m was spent on Shipbuilding R&D in the UK in 2011,http://www.ons.gov.uk/ons/rel/rdit1/bus-ent-res-and-dev/2011/rft-berd-data-tables-2011.xls
å£17m was spent by the UK Government on pharmaceuticals R&D in the UK in 2011,http://www.ons.gov.uk/ons/rel/rdit1/bus-ent-res-and-dev/2011/rft-berd-data-tables-2011.xls
"63,000 engineers were employed doing R&D in the UK in 2006",http://www.ons.gov.uk/ons/rel/rdit1/bus-ent-res-and-dev/2011/rft-berd-data-tables-2011.xls
å£1m was spent on defence-related R&D on rubber & plastic products in the UK in 2011,http://www.ons.gov.uk/ons/rel/rdit1/bus-ent-res-and-dev/2011/rft-berd-data-tables-2011.xls
å£42m was spent on chemicals R&D in Wales in 2011,http://www.ons.gov.uk/ons/rel/rdit1/bus-ent-res-and-dev/2011/rft-berd-data-tables-2011.xls
"The total reserves of the UK was $88,596,004,564 in 2012",http://data.worldbank.org/indicator/FI.RES.TOTL.CD
There were 295 retail enterprises in South Ribble in 2012,http://www.ons.gov.uk/ons/rel/bus-register/uk-business/2012/rft-uk-business-2012.xls
On average there were 20.5 children per class in secondary schools in the East Midlands in 2009/2010,http://www.ons.gov.uk/ons/rel/regional-trends/regional-trends-online-tables/june-2011-release/topic-workbook--4--education-and-training.xls
"There was å£65,918m in circulation in August 2013",http://www.bankofengland.co.uk/statistics/documents/fnc/2013/aug/notesandcoin.pdf
There were 81.612 million mobile phone subscribers in the UK in 2012,https://www.cia.gov/library/publications/the-world-factbook/geos/uk.html
